,Date,Open,High,Low,Close,Adj Close,Volume,Average,Ticker
39,2015-03-16,192.0,204.58999599999999,189.800003,198.080002,198.080002,28013000,197.1949995,original/TSLA
40,2015-03-23,198.5,203.78999299999998,181.399994,185.0,185.0,24656100,192.5949935,original/TSLA
41,2015-03-30,185.850006,193.759995,181.800003,191.0,191.0,23912500,187.779999,original/TSLA
42,2015-04-06,198.0,211.649994,197.5,210.899994,210.899994,30974700,204.574997,original/TSLA
43,2015-04-13,210.440002,213.0,203.5,206.78999299999998,206.78999299999998,12856600,208.25,original/TSLA
44,2015-04-20,206.779999,221.88000499999998,203.850006,218.42999300000002,218.42999300000002,20689200,212.8650055,original/TSLA
45,2015-04-27,222.559998,238.75,220.41000400000001,226.02999900000003,226.02999900000003,30887700,229.580002,original/TSLA
46,2015-05-04,228.17999300000002,239.5,220.25,236.61000099999998,236.61000099999998,29626500,229.875,original/TSLA
47,2015-05-11,236.289993,249.399994,235.309998,248.83999599999999,248.83999599999999,24899400,242.354996,original/TSLA
48,2015-05-18,247.0,251.0,241.36999500000002,247.729996,247.729996,14971500,246.1849975,original/TSLA
49,2015-05-25,247.67999300000002,252.86999500000002,245.05000299999998,250.80000299999998,250.80000299999998,14335900,248.95999899999998,original/TSLA
50,2015-06-01,251.41000400000001,251.600006,245.67999300000002,249.13999900000002,249.13999900000002,11888000,248.63999950000002,original/TSLA
51,2015-06-08,250.850006,258.75,248.5,250.690002,250.690002,14533200,253.625,original/TSLA
52,2015-06-15,249.69999700000002,264.359985,246.00999500000003,262.51001,262.51001,14929500,255.18499000000003,original/TSLA
53,2015-06-22,262.149994,271.410004,255.690002,267.089996,267.089996,17531800,263.550003,original/TSLA
54,2015-06-29,261.950012,282.450012,260.700012,280.019989,280.019989,15830900,271.575012,original/TSLA
55,2015-07-06,278.880005,281.690002,254.309998,259.149994,259.149994,22393100,268.0,original/TSLA
56,2015-07-13,262.25,275.540009,256.049988,274.660004,274.660004,13509600,265.7949985,original/TSLA
57,2015-07-20,275.0,286.649994,260.859985,265.410004,265.410004,19255900,273.75498949999997,original/TSLA
58,2015-07-27,262.429993,269.359985,250.789993,266.149994,266.149994,15637300,260.074989,original/TSLA
59,2015-08-03,266.290009,271.0,236.11999500000002,242.50999500000003,242.50999500000003,30817500,253.5599975,original/TSLA
60,2015-08-10,238.149994,247.92999300000002,232.74000499999997,243.149994,243.149994,21208100,240.33499899999998,original/TSLA
61,2015-08-17,255.559998,260.950012,230.50999500000003,230.770004,230.770004,26472000,245.7300035,original/TSLA
62,2015-08-24,202.78999299999998,251.44999700000002,195.0,248.479996,248.479996,32041600,223.22499850000003,original/TSLA
63,2015-08-31,245.61999500000002,254.94999700000002,236.97000099999997,241.92999300000002,241.92999300000002,22648800,245.95999899999998,original/TSLA
64,2015-09-07,245.05000299999998,254.25,244.05000299999998,250.24000499999997,250.24000499999997,11582700,249.15000149999997,original/TSLA
65,2015-09-14,251.100006,265.5,249.5,260.619995,260.619995,17562900,257.5,original/TSLA
66,2015-09-21,263.980011,271.570007,255.80000299999998,256.910004,256.910004,19607000,263.685005,original/TSLA
67,2015-09-28,257.350006,259.790009,234.92999300000002,247.57000699999998,247.57000699999998,22524600,247.360001,original/TSLA
68,2015-10-05,248.83999599999999,249.83999599999999,218.36000099999998,220.690002,220.690002,28020700,234.09999849999997,original/TSLA
69,2015-10-12,222.99000499999997,230.479996,211.13000499999998,227.00999500000003,227.00999500000003,19290900,220.8050005,original/TSLA
70,2015-10-19,226.5,231.149994,202.0,209.08999599999999,209.08999599999999,28583400,216.574997,original/TSLA
71,2015-10-26,211.38000499999998,217.100006,203.889999,206.929993,206.929993,15860700,210.4950025,original/TSLA
72,2015-11-02,208.919998,234.580002,207.220001,232.36000099999998,232.36000099999998,31909200,220.9000015,original/TSLA
73,2015-11-09,232.99000499999997,232.99000499999997,206.520004,207.190002,207.190002,18161900,219.75500449999998,original/TSLA
74,2015-11-16,206.08999599999999,226.190002,205.800003,220.00999500000003,220.00999500000003,14791100,215.9950025,original/TSLA
75,2015-11-23,217.350006,232.25,214.67999300000002,231.61000099999998,231.61000099999998,10946700,223.4649965,original/TSLA
76,2015-11-30,231.789993,238.600006,227.66000400000001,230.38000499999998,230.38000499999998,14888500,233.130005,original/TSLA
77,2015-12-07,227.69999700000002,235.63000499999998,216.63999900000002,217.020004,217.020004,14225300,226.135002,original/TSLA
78,2015-12-14,217.50999500000003,237.75999500000003,214.86999500000002,230.460007,230.460007,16488600,226.314995,original/TSLA
79,2015-12-21,231.690002,236.55000299999998,228.13000499999998,230.57000699999998,230.57000699999998,6177200,232.34000399999996,original/TSLA
80,2015-12-28,231.49000499999997,243.63000499999998,225.539993,240.00999500000003,240.00999500000003,10719400,234.58499899999998,original/TSLA
81,2016-01-04,230.72000099999997,231.38000499999998,210.770004,211.0,211.0,20975400,221.07500449999998,original/TSLA
82,2016-01-11,214.00999500000003,214.44999700000002,193.380005,204.990005,204.990005,23377300,203.91500100000002,original/TSLA
83,2016-01-18,208.71000700000002,210.47000099999997,191.25,202.550003,202.550003,16167600,200.86000049999998,original/TSLA
84,2016-01-25,200.059998,203.570007,182.41000400000001,191.199997,191.199997,18707800,192.9900055,original/TSLA
85,2016-02-01,188.759995,199.520004,157.740005,162.600006,162.600006,32804100,178.63000449999998,original/TSLA
86,2016-02-08,157.100006,163.259995,141.050003,151.03999299999998,151.03999299999998,49782800,152.154999,original/TSLA
87,2016-02-15,158.699997,172.949997,154.110001,166.580002,166.580002,18266000,163.529999,original/TSLA
88,2016-02-22,170.119995,192.0,167.83999599999999,190.33999599999999,190.33999599999999,28225700,179.919998,original/TSLA
89,2016-02-29,192.399994,204.029999,181.5,201.03999299999998,201.03999299999998,27383200,192.7649995,original/TSLA
90,2016-03-07,197.679993,213.289993,197.399994,207.5,207.5,21243000,205.3449935,original/TSLA
91,2016-03-14,212.649994,234.479996,210.63999900000002,232.74000499999997,232.74000499999997,19257600,222.5599975,original/TSLA
